id,realm_id,date,players,expansions,clutch_win,farm_win,inserted_at,winners,max_score,duration,longest_road,largest_city,largest_field,longest_inn,largest_cathedral,biggest_pig,largest_barn,most_monastery,best_trader
ac96a58f-1c49-47b4-b8fe-655477c6c970,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-04-10,"[{""name"": ""Player 1"", ""score"": 273, ""meeple"": ""3blue.png"", ""breakdown"": {""inn"": 28, ""barn"": 52, ""city"": 71, ""road"": 30, ""abbot"": 27, ""cloth"": 10, ""field"": 21, ""grain"": 10, ""cathedral"": 15, ""monastery"": 9}}, {""name"": ""Player 2"", ""score"": 324, ""meeple"": ""1yellow.png"", ""breakdown"": {""inn"": 20, ""pig"": 20, ""city"": 111, ""road"": 24, ""wine"": 10, ""abbey"": 8, ""abbot"": 25, ""cloth"": 10, ""field"": 21, ""cathedral"": 30, ""monastery"": 45}}]","[""Abbey & Mayor"",""Inns & Cathedrals"",""The Abbot"",""The River"",""Traders & Builders""]",true,false,2026-04-10 19:58:17.712569+00,"[""Player 2""]",324,3534157,"{""amount"": 8, ""player"": ""Player 1""}","{""amount"": 24, ""player"": ""Player 1""}","{""amount"": 12, ""player"": ""Player 1""}","{""amount"": 20, ""player"": ""Player 1""}","{""amount"": 30, ""player"": ""Player 2""}","{""amount"": 20, ""player"": ""Player 2""}","{""amount"": 52, ""player"": ""Player 1""}",,
189e93ac-e295-4614-9cfb-d12243c039ac,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-04-10,"[{""name"": ""Player 1"", ""score"": 320, ""meeple"": ""3blue.png"", ""breakdown"": {""inn"": 28, ""pig"": 44, ""city"": 108, ""road"": 24, ""abbey"": 9, ""abbot"": 8, ""cloth"": 10, ""field"": 18, ""grain"": 10, ""cathedral"": 45, ""monastery"": 16}}, {""name"": ""Player 2"", ""score"": 251, ""meeple"": ""1yellow.png"", ""breakdown"": {""inn"": 38, ""pig"": 24, ""city"": 56, ""road"": 15, ""wine"": 10, ""abbey"": 8, ""abbot"": 28, ""field"": 6, ""grain"": 10, ""cathedral"": 24, ""monastery"": 32}}]","[""Abbey & Mayor"",""Inns & Cathedrals"",""The Abbot"",""The River"",""Traders & Builders""]",false,false,2026-04-10 23:16:40.388333+00,"[""Player 1""]",320,6370963,"{""amount"": 4, ""player"": ""Player 1""}","{""amount"": 22, ""player"": ""Player 1""}","{""amount"": 18, ""player"": ""Player 1""}","{""amount"": 18, ""player"": ""Player 2""}","{""amount"": 45, ""player"": ""Player 1""}","{""amount"": 44, ""player"": ""Player 1""}",,,
695cab15-6f57-4d25-93f0-fa62ca8fefa6,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-04-10,"[{""name"": ""Player 1"", ""score"": 206, ""meeple"": ""3blue.png"", ""breakdown"": {""inn"": 54, ""pig"": 24, ""city"": 64, ""road"": 12, ""abbey"": 9, ""abbot"": 9, ""field"": 0, ""monastery"": 34}}, {""name"": ""Player 2"", ""score"": 310, ""meeple"": ""1yellow.png"", ""breakdown"": {""inn"": 36, ""pig"": 44, ""city"": 100, ""road"": 7, ""wine"": 10, ""abbey"": 9, ""abbot"": 19, ""cloth"": 10, ""field"": 12, ""grain"": 10, ""cathedral"": 30, ""monastery"": 23}}]","[""Abbey & Mayor"",""Inns & Cathedrals"",""The Abbot"",""The River"",""Traders & Builders""]",false,false,2026-04-10 21:29:39.197277+00,"[""Player 2""]",310,3971602,"{""amount"": 3, ""player"": ""Player 1""}","{""amount"": 26, ""player"": ""Player 2""}","{""amount"": 12, ""player"": ""Player 2""}","{""amount"": 20, ""player"": ""Player 1""}","{""amount"": 30, ""player"": ""Player 2""}","{""amount"": 44, ""player"": ""Player 2""}",,,
c208d04f-634d-4da8-b598-1b4a312faa7a,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-03-31,"[{""name"": ""Player 1"", ""score"": 116, ""meeple"": ""3blue.png"", ""breakdown"": {""city"": 38, ""road"": 22, ""abbot"": 20, ""field"": 18, ""monastery"": 18}}, {""name"": ""Player 2"", ""score"": 127, ""meeple"": ""1yellow.png"", ""breakdown"": {""city"": 61, ""road"": 18, ""abbot"": 39, ""field"": 9, ""monastery"": 0}}]","[""The Abbot""]",true,false,2026-03-31 00:00:48.009838+00,"[""Player 2""]",127,1716638,"{""amount"": 7, ""player"": ""Player 1""}","{""amount"": 22, ""player"": ""Player 1""}","{""amount"": 18, ""player"": ""Player 1""}",,,,,,
b7c5d783-5b3c-4148-a55e-15cd8a10d4cf,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-03-30,"[{""name"": ""Player 1"", ""score"": 116, ""meeple"": ""3blue.png"", ""breakdown"": {""city"": 38, ""road"": 22, ""abbot"": 20, ""field"": 18, ""monastery"": 18}}, {""name"": ""Player 2"", ""score"": 127, ""meeple"": ""1yellow.png"", ""breakdown"": {""city"": 61, ""road"": 18, ""abbot"": 39, ""field"": 9, ""monastery"": 0}}]","[""The Abbot""]",true,false,2026-03-30 23:21:05.332728+00,"[""Player 2""]",127,1716638,"{""amount"": 7, ""player"": ""Player 1""}","{""amount"": 22, ""player"": ""Player 1""}","{""amount"": 18, ""player"": ""Player 1""}",,,,,,
412a832d-3f30-4afe-9fb0-7b3617898b5a,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-03-30,"[{""name"": ""Player 1"", ""score"": 326, ""meeple"": ""1yellow.png"", ""breakdown"": {""inn"": 10, ""pig"": 32, ""barn"": 48, ""city"": 101, ""road"": 28, ""wine"": 10, ""abbey"": 9, ""abbot"": 25, ""cloth"": 10, ""field"": 0, ""grain"": 10, ""monastery"": 43}}, {""name"": ""Player 2"", ""score"": 271, ""meeple"": ""3blue.png"", ""breakdown"": {""inn"": 26, ""city"": 81, ""road"": 19, ""abbey"": 9, ""abbot"": 47, ""field"": 39, ""grain"": 10, ""cathedral"": 36, ""monastery"": 4}}]","[""Abbey & Mayor"",""Inns & Cathedrals"",""The Abbot"",""The River"",""Traders & Builders""]",true,true,2026-03-30 05:14:42.675366+00,"[""Player 1""]",326,9884772,"{""amount"": 9, ""player"": ""Player 1""}","{""amount"": 22, ""player"": ""Player 1""}","{""amount"": 48, ""player"": ""Player 1""}","{""amount"": 26, ""player"": ""Player 2""}","{""amount"": 36, ""player"": ""Player 2""}","{""amount"": 32, ""player"": ""Player 1""}","{""amount"": 48, ""player"": ""Player 1""}",,
a9504917-b7b0-4021-ba9c-6bb8c6a838d5,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-03-30,"[{""name"": ""Player 1"", ""score"": 198, ""meeple"": ""1yellow.png"", ""breakdown"": {""inn"": 18, ""city"": 33, ""road"": 5, ""abbot"": 31, ""field"": 9, ""cathedral"": 87, ""monastery"": 15}}, {""name"": ""Player 2"", ""score"": 156, ""meeple"": ""3blue.png"", ""breakdown"": {""inn"": 42, ""pig"": 40, ""city"": 37, ""road"": 4, ""abbot"": 23, ""field"": 0, ""monastery"": 10}}]","[""Abbey & Mayor"",""Inns & Cathedrals"",""The Abbot"",""Traders & Builders""]",false,false,2026-03-30 02:22:49.772601+00,"[""Player 1""]",198,2030225,"{""amount"": 3, ""player"": ""Player 1""}","{""amount"": 12, ""player"": ""Player 1""}","{""amount"": 9, ""player"": ""Player 1""}","{""amount"": 30, ""player"": ""Player 2""}","{""amount"": 87, ""player"": ""Player 1""}","{""amount"": 40, ""player"": ""Player 2""}",,,
5a2e45b3-7946-4d39-b722-fb6296009af7,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-03-30,"[{""name"": ""Player 1"", ""score"": 127, ""meeple"": ""3blue.png"", ""breakdown"": {""city"": 39, ""road"": 11, ""abbot"": 26, ""field"": 24, ""monastery"": 27}}, {""name"": ""Player 2"", ""score"": 99, ""meeple"": ""1yellow.png"", ""breakdown"": {""city"": 33, ""road"": 19, ""abbot"": 23, ""field"": 24, ""monastery"": 0}}]","[""The Abbot""]",false,false,2026-03-30 22:51:46.560659+00,"[""Player 1""]",127,1372608,"{""amount"": 7, ""player"": ""Player 2""}","{""amount"": 15, ""player"": ""Player 2""}","{""amount"": 24, ""player"": ""Player 1""}",,,,,,
49d29b8b-b1e7-4542-9b67-9e2f367d8f39,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-03-26,"[{""name"": ""Player 1"", ""score"": 148, ""meeple"": ""3blue.png"", ""breakdown"": {""inn"": 12, ""city"": 34, ""road"": 26, ""abbot"": 26, ""field"": 6, ""cathedral"": 36, ""monastery"": 8}}, {""name"": ""Player 2"", ""score"": 141, ""meeple"": ""1yellow.png"", ""breakdown"": {""inn"": 10, ""city"": 40, ""road"": 6, ""abbot"": 24, ""field"": 30, ""cathedral"": 15, ""monastery"": 16}}]","[""Inns & Cathedrals"",""The Abbot""]",true,false,2026-03-26 04:22:44.179937+00,"[""Player 1""]",148,2910952,"{""amount"": 8, ""player"": ""Player 1""}","{""amount"": 20, ""player"": ""Player 2""}","{""amount"": 24, ""player"": ""Player 2""}","{""amount"": 12, ""player"": ""Player 1""}","{""amount"": 36, ""player"": ""Player 1""}",,,,
02d576df-df45-40b3-b193-9f0ffb48d429,81880D2F-C9B0-4E4A-84A4-BE3EB9CA0016,2026-03-25,"[{""name"": ""Player 1"", ""score"": 167, ""meeple"": ""3blue.png"", ""breakdown"": {""inn"": 44, ""city"": 56, ""road"": 10, ""abbot"": 6, ""field"": 27, ""monastery"": 24}}, {""name"": ""Player 2"", ""score"": 121, ""meeple"": ""1yellow.png"", ""breakdown"": {""inn"": 20, ""city"": 51, ""road"": 3, ""abbot"": 26, ""field"": 21, ""monastery"": 0}}]","[""Inns & Cathedrals"",""The Abbot""]",false,false,2026-03-25 04:18:28.8607+00,"[""Player 1""]",167,2995341,"{""amount"": 4, ""player"": ""Player 1""}","{""amount"": 24, ""player"": ""Player 1""}","{""amount"": 27, ""player"": ""Player 1""}","{""amount"": 20, ""player"": ""Player 2""}",,,,,
